current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,blank_trial.stopped,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.04026034500202513,0.051826972001435934,0.051826972001435934,1.2781927720025124,5,1.2249738360005722,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
,,,,,,,,,,,,,,,,,,,1.2782150029997865,1.2782609010027954,1.2782687899998564,1.294157731001178,1.294157731001178,2.461255322999932,space,1.16353790300127,None,,,,,,,,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/blank.jpg,0,0,1,1,0,0,0,0,0,2.5564737140011857,,,,,,,,,,,,,,,,,,2.5041058530005103,2.5091244890027156,None,2.5096265300016967,2.5096951230007107,2.509701587001473,2.509730028003105,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/blank.jpg,0,1,1,0,0,0,1,1,1,2.5564737140011857,,,,,,,,,,,,,,,,,,2.5099133840012655,2.5119472020014655,None,2.512067241001205,2.51213365300282,2.5121400600000925,2.5121646450024855,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/blank.jpg,0,2,1,0,0,0,2,2,2,2.5564737140011857,,,,,,,,,,,,,,,,,,2.5123597020028683,2.5144041550011025,None,2.514518116000545,2.5145836810006585,2.5145897190013784,2.5146128440028406,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/18_12 copy 3.jpg,0,3,0,0,0,0,3,3,3,2.5564737140011857,,,,,,,,,,,,,,,,,,2.5147881060001964,6.517275075002544,None,6.517387616000633,6.517399299002136,6.5174068010019255,6.517427504000807,2.5564737140011857,3.527236162000918,3.527236162000918,6.5142425800004276,6.5142425800004276,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/14_28 copy 2.jpg,0,4,0,0,0,0,4,4,4,6.524308474999998,,,,,,,,,,,,,,,,,,6.5175983469998755,10.530115730001853,None,10.530261112002336,10.530273256001237,10.530280520000815,10.530302679002489,6.524308474999998,7.54806593900139,7.54806593900139,,,10.5300208080007,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/pair01 copy 5.jpg,0,5,0,0,0,0,5,5,5,10.543461717003083,,,,,,,,,,,,,,,,,,10.530474789000436,14.527939974002948,None,14.528153260002,14.52817287000289,14.528184730002977,14.52822237300279,10.543461717003083,11.544884571001603,11.544884571001603,14.54473716800203,14.54473716800203,14.54473716800203,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/13_28 copy 4.jpg,0,6,0,0,0,0,6,6,6,14.54473716800203,,,,,,,,,,,,,,,,,,14.528526874000818,18.528224556001078,None,18.528431536000426,18.528450831003283,18.52846347400191,18.52849893000166,14.54473716800203,15.528212395001901,15.528212395001901,18.52796707000016,18.52796707000016,18.544665870002063,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/9_0.jpg,0,7,0,0,0,0,7,7,7,18.544665870002063,,,,,,,,,,,,,,,,,,18.52880265100248,22.52857941700131,None,22.528797181999835,22.528818171002058,22.528831452000304,22.52886774900253,18.544665870002063,19.527998970002955,19.527998970002955,22.52843580500121,22.52843580500121,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/22_40 copy 4.jpg,0,8,0,0,0,0,8,8,8,22.544441304002248,,,,,,,,,,,,,,,,,,22.529160554000555,26.5288246300006,None,26.528974316999665,26.52898769100284,26.52899693800282,26.52902146800261,22.544441304002248,23.52855405900118,23.52855405900118,26.52864169100212,26.52864169100212,26.550955562001036,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/12_12 copy 4.jpg,0,9,0,0,0,0,9,9,9,26.550955562001036,,,,,,,,,,,,,,,,,,26.529227098002593,30.545359211002506,None,30.545583760002046,30.545605891002197,30.545619014003023,30.545656226000574,26.550955562001036,27.528802570999687,27.528802570999687,30.528893557002448,30.528893557002448,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/blank.jpg,0,10,1,0,0,0,10,10,10,30.577890414002468,,,,,,,,,,,,,,,,,,30.54596314200171,30.548673122000764,None,30.548827622002136,30.54890676800278,30.548914783001237,30.54894346600122,,,,,,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/pair09 copy.jpg,0,11,0,0,0,0,11,11,11,30.577890414002468,,,,,,,,,,,,,,,,,,30.549187769000127,34.56203568199999,None,34.56222004200026,34.562236726000265,34.56224735300202,34.56227747500088,30.577890414002468,31.56077405399992,31.56077405399992,34.56191237200255,34.56191237200255,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/22_40.jpg,0,12,0,0,0,0,12,12,12,34.57765208300043,,,,,,,,,,,,,,,,,,34.5625185400022,38.57894311200289,None,38.57916313900205,38.57918465700277,38.57919606600262,38.579235109002184,34.57765208300043,35.58254847900025,35.58254847900025,,,38.57880004600156,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/5_0 copy 7.jpg,0,13,0,0,0,0,13,13,13,38.59512227700179,,,,,,,,,,,,,,,,,,38.579531679002685,42.577903856003104,None,42.578111694001564,42.57813114500095,42.57814279100057,42.57817747700028,38.59512227700179,39.57902046399977,39.57902046399977,42.5941688310013,42.5941688310013,42.5941688310013,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/15_40 copy 7.jpg,0,14,0,0,0,0,14,14,14,42.5941688310013,,,,,,,,,,,,,,,,,,42.57848139500129,46.57853040400005,None,46.57871044900094,46.57872757100267,46.57873832699988,46.578767782000796,42.5941688310013,43.57868723200227,43.57868723200227,46.57841436500166,46.57841436500166,,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
images/17_40 copy 7.jpg,0,15,0,0,0,0,15,15,15,46.59485548900193,,,,,,,,,,,,,,,,,,46.579008745000465,50.57830078400002,None,50.5784689050015,50.57848455900239,50.57849521300159,50.57852380700206,46.59485548900193,47.57803201800198,47.57803201800198,50.5780930410001,50.5780930410001,50.59485856700121,1,001,2024-03-13_13h42.59.721,replicate_nsd,2023.2.3,59.88439162544803,2024-03-13 13h43.06.430559 -0400,
,,,,,,,,,,50.59485856700121,,,,,,,,,,,,,,,,,,50.57876507400215,,,,,,,50.59485856700121,51.57878114900086,51.57878114900086,,,,,,,,,,,
